criterion "Is_bastille"	"who" "Medic2" required
	speak "vegas.ShieldbugHint0"
	speak "vegas.ShieldbugHint1"
	speak "vegas.ShieldbugHint2"
}

Rule vegas_CHATTER_SHIELDBUG_HINT
{
    criteria ConceptCHATTER_SHIELDBUG_HINT Is_vegas
    response vegas_CHATTER_SHIELDBUG_HINT
}

Response sarge_CHATTER_SHIELDBUG_HINT
{
	speak "sarge.ShieldbugHint0"
	speak "sarge.ShieldbugHint1"
	speak "sarge.ShieldbugHint2"
}

Rule sarge_CHATTER_SHIELDBUG_HINT
{
    criteria ConceptCHATTER_SHIELDBUG_HINT Is_sarge
    response sarge_CHATTER_SHIELDBUG_HINT
}

Response bastille_CHATTER_SHIELDBUG_HINT
{
	speak "bastille.ShieldbugHint0"
	speak "bastille.ShieldbugHint1"
	speak "bastille.ShieldbugHint2"
}

Rule bastille_CHATTER_SHIELDBUG_HINT
{
    criteria ConceptCHATTER_SHIELDBUG_HINT Is_bastille
    response bastille_CHATTER_SHIELDBUG_HINT
}

Response wildcat_CHATTER_SHIELDBUG_HINT
{
	speak "wildcat.ShieldbugHint0"
	speak "wildcat.ShieldbugHint1"
}

Rule wildcat_CHATTER_SHIELDBUG_HINT
{
    criteria ConceptCHATTER_SHIELDBUG_HINT Is_wildcat
    response wildcat_CHATTER_SHIELDBUG_HINT
}

Response sarge_CHATTER_SARGE_JAEGER_CONV_2_REPLY
{
	speak "sarge.SargeJaegerConv2Reply0"
	speak "sarge.SargeJaegerConv2Reply1"
}

Rule sarge_CHATTER_SARGE_JAEGER_CONV_2_REPLY
{
    criteria ConceptCHATTER_SARGE_JAEGER_CONV_2_REPLY Is_sarge
    response sarge_CHATTER_SARGE_JAEGER_CONV_2_REPLY
}

Response jaeger_CHATTER_SARGE_JAEGER_CONV_2_REPLY
{
	speak "jaeger.SargeJaegerConv2Reply0"
	speak "jaeger.SargeJaegerConv2Reply1"
}

Rule jaeger_CHATTER_SARGE_JAEGER_CONV_2_REPLY
{
    criteria ConceptCHATTER_SARGE_JAEGER_CONV_2_REPLY Is_jaeger
    response jaeger_CHATTER_SARGE_JAEGER_CONV_2_REPLY
}

Response vegas_CHATTER_HACK_BUTTON_FINISHED
{
	speak "vegas.FinishedHackButton0"
	speak "vegas.FinishedHackButton1"
	speak "vegas.FinishedHackButton2"
}

Rule vegas_CHATTER_HACK_BUTTON_FINISHED
{
    criteria ConceptCHATTER_HACK_BUTTON_FINISHED Is_vegas
    response vegas_CHATTER_HACK_BUTTON_FINISHED
}

Response crash_CHATTER_HACK_BUTTON_FINISHED
{
	speak "crash.FinishedHackButton0"
	speak "crash.FinishedHackButton1"
	speak "crash.FinishedHackButton2"
	speak "crash.FinishedHackButton3"
	speak "crash.FinishedHackButton4"
}

Rule crash_CHATTER_HACK_BUTTON_FINISHED
{
    criteria ConceptCHATTER_HACK_BUTTON_FINISHED Is_crash
    response crash_CHATTER_HACK_BUTTON_FINISHED
}

Response sarge_CHATTER_SARGE_IDLE
{
	speak "sarge.SargeIdle0"
	speak "sarge.SargeIdle1"
}

Rule sarge_CHATTER_SARGE_IDLE
{
    criteria ConceptCHATTER_SARGE_IDLE Is_sarge
    response sarge_CHATTER_SARGE_IDLE
}

Response faith_CHATTER_REQUEST_SHOOT_DOOR
{
	speak "faith.RequestShootDoor0"
	speak "faith.RequestShootDoor1"
}

Rule faith_CHATTER_REQUEST_SHOOT_DOOR
{
    criteria ConceptCHATTER_REQUEST_SHOOT_DOOR Is_faith
    response faith_CHATTER_REQUEST_SHOOT_DOOR
}

Response crash_CHATTER_REQUEST_SHOOT_DOOR
{
	speak "crash.RequestShootDoor0"
	speak "crash.RequestShootDoor1"
	speak "crash.RequestShootDoor2"
}

Rule crash_CHATTER_REQUEST_SHOOT_DOOR
{
    criteria ConceptCHATTER_REQUEST_SHOOT_DOOR Is_crash
    response crash_CHATTER_REQUEST_SHOOT_DOOR
}

Response jaeger_CHATTER_REQUEST_SHOOT_DOOR
{
	speak "jaeger.RequestShootDoor0"
	speak "jaeger.RequestShootDoor1"
}

Rule jaeger_CHATTER_REQUEST_SHOOT_DOOR
{
    criteria ConceptCHATTER_REQUEST_SHOOT_DOOR Is_jaeger
    response jaeger_CHATTER_REQUEST_SHOOT_DOOR
}

Response wolfe_CHATTER_REQUEST_SHOOT_DOOR
{
	speak "wolfe.RequestShootDoor0"
	speak "wolfe.RequestShootDoor1"
	speak "wolfe.RequestShootDoor2"
	speak "wolfe.RequestShootDoor3"
}

Rule wolfe_CHATTER_REQUEST_SHOOT_DOOR
{
    criteria ConceptCHATTER_REQUEST_SHOOT_DOOR Is_wolfe
    response wolfe_CHATTER_REQUEST_SHOOT_DOOR
}

Response vegas_CHATTER_REQUEST_SHOOT_DOOR
{
	speak "vegas.RequestShootDoor0"
	speak "vegas.RequestShootDoor1"
	speak "vegas.RequestShootDoor2"
}

Rule vegas_CHATTER_REQUEST_SHOOT_DOOR
{
    criteria ConceptCHATTER_REQUEST_SHOOT_DOOR Is_vegas
    response vegas_CHATTER_REQUEST_SHOOT_DOOR
}

Response sarge_CHATTER_REQUEST_SHOOT_DOOR
{
	speak "sarge.RequestShootDoor0"
	speak "sarge.RequestShootDoor1"
	speak "sarge.RequestShootDoor2"
	speak "sarge.RequestShootDoor3"
}

Rule sarge_CHATTER_REQUEST_SHOOT_DOOR
{
    criteria ConceptCHATTER_REQUEST_SHOOT_DOOR Is_sarge
    response sarge_CHATTER_REQUEST_SHOOT_DOOR
}

Response bastille_CHATTER_REQUEST_SHOOT_DOOR
{
	speak "bastille.RequestShootDoor0"
	speak "bastille.RequestShootDoor1"
	speak "bastille.RequestShootDoor2"
	speak "bastille.RequestShootDoor3"
}

Rule bastille_CHATTER_REQUEST_SHOOT_DOOR
{
    criteria ConceptCHATTER_REQUEST_SHOOT_DOOR Is_bastille
    response bastille_CHATTER_REQUEST_SHOOT_DOOR
}

Response wildcat_CHATTER_REQUEST_SHOOT_DOOR
{
	speak "wildcat.RequestShootDoor0"
	speak "wildcat.RequestShootDoor1"
}

Rule wildcat_CHATTER_REQUEST_SHOOT_DOOR
{
    criteria ConceptCHATTER_REQUEST_SHOOT_DOOR Is_wildcat
    response wildcat_CHATTER_REQUEST_SHOOT_DOOR
}

Response wolfe_CHATTER_WOLFE_KILL_REPLY_AHEAD
{
	speak "wolfe.WolfeKillReplyAhead0"
}

Rule wolfe_CHATTER_WOLFE_KILL_REPLY_AHEAD
{
    criteria ConceptCHATTER_WOLFE_KILL_REPLY_AHEAD Is_wolfe
    response wolfe_CHATTER_WOLFE_KILL_REPLY_AHEAD
}

Response wildcat_CHATTER_WOLFE_KILL_REPLY_AHEAD
{
	speak "wildcat.WolfeKillReplyAhead0"
	speak "wildcat.WolfeKillReplyAhead1"
}

Rule wildcat_CHATTER_WOLFE_KILL_REPLY_AHEAD
{
    criteria ConceptCHATTER_WOLFE_KILL_REPLY_AHEAD Is_wildcat
    response wildcat_CHATTER_WOLFE_KILL_REPLY_AHEAD
}

Response faith_CHATTER_SUPPLIES
{
	speak "faith.Supplies0"
	speak "faith.Supplies1"
}

Rule faith_CHATTER_SUPPLIES
{
    criteria ConceptCHATTER_SUPPLIES Is_faith
    response faith_CHATTER_SUPPLIES
}

Response crash_CHATTER_SUPPLIES
{
	speak "crash.Supplies0"
	speak "crash.Supplies1"
	speak "crash.Supplies2"
}

Rule crash_CHATTER_SUPPLIES
{
    criteria ConceptCHATTER_SUPPLIES Is_crash
    response crash_CHATTER_SUPPLIES
}

Response jaeger_CHATTER_SUPPLIES
{
	speak "jaeger.Supplies0"
	speak "jaeger.Supplies1"
}

Rule jaeger_CHATTER_SUPPLIES
{
    criteria ConceptCHATTER_SUPPLIES Is_jaeger
    response jaeger_CHATTER_SUPPLIES
}

Response wolfe_CHATTER_SUPPLIES
{
	speak "wolfe.Supplies0"
	speak "wolfe.Supplies1"
	speak "wolfe.Supplies2"
	speak "wolfe.Supplies3"
}

Rule wolfe_CHATTER_SUPPLIES
{
    criteria ConceptCHATTER_SUPPLIES Is_wolfe
    response wolfe_CHATTER_SUPPLIES
}

Response vegas_CHATTER_SUPPLIES
{
	speak "vegas.Supplies0"
}

Rule vegas_CHATTER_SUPPLIES
{
    criteria ConceptCHATTER_SUPPLIES Is_vegas
    response vegas_CHATTER_SUPPLIES
}

Response sarge_CHATTER_SUPPLIES
{
	speak "sarge.Supplies0"
	speak "sarge.Supplies1"
	speak "sarge.Supplies2"
}

Rule sarge_CHATTER_SUPPLIES
{
    criteria ConceptCHATTER_SUPPLIES Is_sarge
    response sarge_CHATTER_SUPPLIES
}

Response bastille_CHATTER_SUPPLIES
{
	speak "bastille.Supplies0"
	speak "bastille.Supplies1"
	speak "bastille.Supplies2"
	speak "bastille.Supplies3"
}

Rule bastille_CHATTER_SUPPLIES
{
    criteria ConceptCHATTER_SUPPLIES Is_bastille
    response bastille_CHATTER_SUPPLIES
}

Response wildcat_CHATTER_SUPPLIES
{
	speak "wildcat.Supplies0"
}

Rule wildcat_CHATTER_SUPPLIES
{
    criteria ConceptCHATTER_SUPPLIES Is_wildcat
    response wildcat_CHATTER_SUPPLIES
}

Response jaeger_CHATTER_CRASH_IDLE_REPLY
{
	speak "jaeger.CrashIdleReply0"
}

Rule jaeger_CHATTER_CRASH_IDLE_REPLY
{
    criteria ConceptCHATTER_CRASH_IDLE_REPLY Is_jaeger
    response jaeger_CHATTER_CRASH_IDLE_REPLY
}

Response sarge_CHATTER_CRASH_IDLE_REPLY
{
	speak "sarge.CrashIdleReply0"
}

Rule sarge_CHATTER_CRASH_IDLE_REPLY
{
    criteria ConceptCHATTER_CRASH_IDLE_REPLY Is_sarge
    response sarge_CHATTER_CRASH_IDLE_REPLY
}

Response bastille_CHATTER_CRASH_IDLE_REPLY
{
	speak "bastille.CrashIdleReply0"
}

Rule bastille_CHATTER_CRASH_IDLE_REPLY
{
    criteria ConceptCHATTER_CRASH_IDLE_REPLY Is_bastille
    response bastille_CHATTER_CRASH_IDLE_REPLY
}

Response faith_CHATTER_STILL_BREATHING_REPLY
{
	speak "faith.StillBreathingReply0"
}

Rule faith_CHATTER_STILL_BREATHING_REPLY
{
    criteria ConceptCHATTER_STILL_BREATHING_REPLY Is_faith
    response faith_CHATTER_STILL_BREATHING_REPLY
}

Response crash_CHATTER_STILL_BREATHING_REPLY
{
	speak "crash.StillBreathingReply0"
}

Rule crash_CHATTER_STILL_BREATHING_REPLY
{
    criteria ConceptCHATTER_STILL_BREATHING_REPLY Is_crash
    response crash_CHATTER_STILL_BREATHING_REPLY
}

Response jaeger_CHATTER_STILL_BREATHING_REPLY
{
	speak "jaeger.StillBreathingReply0"
}

Rule jaeger_CHATTER_STILL_BREATHING_REPLY
{
    criteria ConceptCHATTER_STILL_BREATHING_REPLY Is_jaeger
    response jaeger_CHATTER_STILL_BREATHING_REPLY
}

Response vegas_CHATTER_STILL_BREATHING_REPLY
{
	speak "vegas.StillBreathingReply0"
}

Rule vegas_CHATTER_STILL_BREATHING_REPLY
{
    criteria ConceptCHATTER_STILL_BREATHING_REPLY Is_vegas
    response vegas_CHATTER_STILL_BREATHING_REPLY
}

Response bastille_CHATTER_STILL_BREATHING_REPLY
{
	speak "bastille.StillBreathingReply0"
}

Rule bastille_CHATTER_STILL_BREATHING_REPLY
{
    criteria ConceptCHATTER_STILL_BREATHING_REPLY Is_bastille
    response bastille_CHATTER_STILL_BREATHING_REPLY
}

Response wildcat_CHATTER_STILL_BREATHING_REPLY
{
	speak "wildcat.StillBreathingReply0"
}

Rule wildcat_CHATTER_STILL_BREATHING_REPLY
{
    criteria ConceptCHATTER_STILL_BREATHING_REPLY Is_wildcat
    response wildcat_CHATTER_STILL_BREATHING_REPLY
}

Response faith_CHATTER_FLYNN
{
	speak "faith.CallFlynn0"
	speak "faith.CallFlynn1"
}

Rule faith_CHATTER_FLYNN
{
    criteria ConceptCHATTER_FLYNN Is_faith
    response faith_CHATTER_FLYNN
}

Response crash_CHATTER_FLYNN
{
	speak "crash.CallFlynn0"
	speak "crash.CallFlynn1"
}

Rule crash_CHATTER_FLYNN
{
    criteria ConceptCHATTER_FLYNN Is_crash
    response crash_CHATTER_FLYNN
}

Response jaeger_CHATTER_FLYNN
{
	speak "jaeger.CallFlynn0"
	speak "jaeger.CallFlynn1"
}

Rule jaeger_CHATTER_FLYNN
{
    criteria ConceptCHATTER_FLYNN Is_jaeger
    response jaeger_CHATTER_FLYNN
}

Response wolfe_CHATTER_FLYNN
{
	speak "wolfe.CallFlynn0"
	speak "wolfe.CallFlynn1"
	speak "wolfe.CallFlynn2"
}

Rule wolfe_CHATTER_FLYNN
{
    criteria ConceptCHATTER_FLYNN Is_wolfe
    response wolfe_CHATTER_FLYNN
}

Response vegas_CHATTER_FLYNN
{
	speak "vegas.CallFlynn0"
	speak "vegas.CallFlynn1"
}

Rule vegas_CHATTER_FLYNN
{
    criteria ConceptCHATTER_FLYNN Is_vegas
    response vegas_CHATTER_FLYNN
}

Response sarge_CHATTER_FLYNN
{
	speak "sarge.CallFlynn0"
	speak "sarge.CallFlynn1"
}

Rule sarge_CHATTER_FLYNN
{
    criteria ConceptCHATTER_FLYNN Is_sarge
    response sarge_CHATTER_FLYNN
}

Response bastille_CHATTER_FLYNN
{
	speak "bastille.CallFlynn0"
	speak "bastille.CallFlynn1"
}

Rule bastille_CHATTER_FLYNN
{
    criteria ConceptCHATTER_FLYNN Is_bastille
    response bastille_CHATTER_FLYNN
}

Response wildcat_CHATTER_FLYNN
{
	speak "wildcat.CallFlynn0"
	speak "wildcat.CallFlynn1"
}

Rule wildcat_CHATTER_FLYNN
{
    criteria ConceptCHATTER_FLYNN Is_wildcat
    response wildcat_CHATTER_FLYNN
}

Response faith_CHATTER_HOLDING_NORTH
{
	speak "faith.HoldingNorth0"
	speak "faith.HoldingNorth1"
	speak "faith.HoldingNorth2"
	speak "faith.HoldingNorth3"
}

Rule faith_CHATTER_HOLDING_NORTH
{
    criteria ConceptCHATTER_HOLDING_NORTH Is_faith
    response faith_CHATTER_HOLDING_NORTH
}

Response crash_CHATTER_HOLDING_NORTH
{
	speak "crash.HoldingNorth0"
	speak "crash.HoldingNorth1"
	speak "crash.HoldingNorth2"
	speak "crash.HoldingNorth3"
}

Rule crash_CHATTER_HOLDING_NORTH
{
    criteria ConceptCHATTER_HOLDING_NORTH Is_crash
    response crash_CHATTER_HOLDING_NORTH
}

Response jaeger_CHATTER_HOLDING_NORTH
{
	speak "jaeger.HoldingNorth0"
	speak "jaeger.HoldingNorth1"
	speak "jaeger.HoldingNorth2"
	speak "jaeger.HoldingNorth3"
}

Rule jaeger_CHATTER_HOLDING_NORTH
{
    criteria ConceptCHATTER_HOLDING_NORTH Is_jaeger
    response jaeger_CHATTER_HOLDING_NORTH
}

Response wolfe_CHATTER_HOLDING_NORTH
{
	speak "wolfe.HoldingNorth0"
	speak "wolfe.HoldingNorth1"
	speak "wolfe.HoldingNorth2"
	speak "wolfe.HoldingNorth3"
	speak "wolfe.HoldingNorth4"
	speak "wolfe.HoldingNorth5"
}

Rule wolfe_CHATTER_HOLDING_NORTH
{
    criteria ConceptCHATTER_HOLDING_NORTH Is_wolfe
    response wolfe_CHATTER_HOLDING_NORTH
}

Response vegas_CHATTER_HOLDING_NORTH
{
	speak "vegas.HoldingNorth0"
	speak "vegas.HoldingNorth1"
	speak "vegas.HoldingNorth2"
	speak "vegas.HoldingNorth3"
}

Rule vegas_CHATTER_HOLDING_NORTH
{
    criteria ConceptCHATTER_HOLDING_NORTH Is_vegas
    response vegas_CHATTER_HOLDING_NORTH
}

Response sarge_CHATTER_HOLDING_NORTH
{
	speak "sarge.HoldingNorth0"
	speak "sarge.HoldingNorth1"
	speak "sarge.HoldingNorth2"
	speak "sarge.HoldingNorth3"
}

Rule sarge_CHATTER_HOLDING_NORTH
{
    criteria ConceptCHATTER_HOLDING_NORTH Is_sarge
    response sarge_CHATTER_HOLDING_NORTH
}

Response bastille_CHATTER_HOLDING_NORTH
{
	speak "bastille.HoldingNorth0"
	speak "bastille.HoldingNorth1"
	speak "bastille.HoldingNorth2"
	speak "bastille.HoldingNorth3"
}

Rule bastille_CHATTER_HOLDING_NORTH
{
    criteria ConceptCHATTER_HOLDING_NORTH Is_bastille
    response bastille_CHATTER_HOLDING_NORTH
}

Response wildcat_CHATTER_HOLDING_NORTH
{
	speak "wildcat.HoldingNorth0"
	speak "wildcat.HoldingNorth1"
	speak "wildcat.HoldingNorth2"
}

Rule wildcat_CHATTER_HOLDING_NORTH
{
    criteria ConceptCHATTER_HOLDING_NORTH Is_wildcat
    response wildcat_CHATTER_HOLDING_NORTH
}

Response wildcat_CHATTER_COMPLIMENTS_WOLFE
{
	speak "wildcat.ComplimentsWolfe0"
	speak "wildcat.ComplimentsWolfe1"
}

Rule wildcat_CHATTER_COMPLIMENTS_WOLFE
{
    criteria ConceptCHATTER_COMPLIMENTS_WOLFE Is_wildcat
    response wildcat_CHATTER_COMPLIMENTS_WOLFE
}

Response faith_CHATTER_VEGAS
{
	speak "faith.CallVegas0"
	speak "faith.CallVegas1"
}

Rule faith_CHATTER_VEGAS
{
    criteria ConceptCHATTER_VEGAS Is_faith
    response faith_CHATTER_VEGAS
}

Response crash_CHATTER_VEGAS
{
	speak "crash.CallVegas0"
	speak "crash.CallVegas1"
}

Rule crash_CHATTER_VEGAS
{
    criteria ConceptCHATTER_VEGAS Is_crash
    response crash_CHATTER_VEGAS
}

Response jaeger_CHATTER_VEGAS
{
	speak "jaeger.CallVegas0"
}

Rule jaeger_CHATTER_VEGAS
{
    criteria ConceptCHATTER_VEGAS Is_jaeger
    response jaeger_CHATTER_VEGAS
}

Response wolfe_CHATTER_VEGAS
{
	speak "wolfe.CallVegas0"
	speak "wolfe.CallVegas1"
}

Rule wolfe_CHATTER_VEGAS
{
    criteria ConceptCHATTER_VEGAS Is_wolfe
    response wolfe_CHATTER_VEGAS
}

Response sarge_CHATTER_VEGAS
{
	speak "sarge.CallVegas0"
	speak "sarge.CallVegas1"
	speak "sarge.CallVegas2"
}

Rule sarge_CHATTER_VEGAS
{
    criteria ConceptCHATTER_VEGAS Is_sarge
    response sarge_CHATTER_VEGAS
}

Response bastille_CHATTER_VEGAS
{
	speak "bastille.CallVegas0"
	speak "bastille.CallVegas1"
}

Rule bastille_CHATTER_VEGAS
{
    criteria ConceptCHATTER_VEGAS Is_bastille
    response bastille_CHATTER_VEGAS
}

Response wildcat_CHATTER_VEGAS
{
	speak "wildcat.CallVegas0"
	speak "wildcat.CallVegas1"
}

Rule wildcat_CHATTER_VEGAS
{
    criteria ConceptCHATTER_VEGAS Is_wildcat
    response wildcat_CHATTER_VEGAS
}

Response faith_CHATTER_CUTTING_DOOR
{
	speak "faith.CuttingDoor0"
	speak "faith.CuttingDoor1"
	speak "faith.CuttingDoor2"
}

Rule faith_CHATTER_CUTTING_DOOR
{
    criteria ConceptCHATTER_CUTTING_DOOR Is_faith
    response faith_CHATTER_CUTTING_DOOR
}

Response crash_CHATTER_CUTTING_DOOR
{
	speak "crash.CuttingDoor0"
	speak "crash.CuttingDoor1"
}

Rule crash_CHATTER_CUTTING_DOOR
{
    criteria ConceptCHATTER_CUTTING_DOOR Is_crash
    response crash_CHATTER_CUTTING_DOOR
}

Response jaeger_CHATTER_CUTTING_DOOR
{
	speak "jaeger.CuttingDoor0"
	speak "jaeger.CuttingDoor1"
}

Rule jaeger_CHATTER_CUTTING_DOOR
{
    criteria ConceptCHATTER_CUTTING_DOOR Is_jaeger
    response jaeger_CHATTER_CUTTING_DOOR
}

Response wolfe_CHATTER_CUTTING_DOOR
{
	speak "wolfe.CuttingDoor0"
	speak "wolfe.CuttingDoor1"
	speak "wolfe.CuttingDoor2"
	speak "wolfe.CuttingDoor3"
}

Rule wolfe_CHATTER_CUTTING_DOOR
{
    criteria ConceptCHATTER_CUTTING_DOOR Is_wolfe
    response wolfe_CHATTER_CUTTING_DOOR
}

Response vegas_CHATTER_CUTTING_DOOR
{
	speak "vegas.CuttingDoor0"
	speak "vegas.CuttingDoor1"
	speak "vegas.CuttingDoor2"
}

Rule vegas_CHATTER_CUTTING_DOOR
{
    criteria ConceptCHATTER_CUTTING_DOOR Is_vegas
    response vegas_CHATTER_CUTTING_DOOR
}

Response sarge_CHATTER_CUTTING_DOOR
{
	speak "sarge.CuttingDoor0"
	speak "sarge.CuttingDoor1"
}

Rule sarge_CHATTER_CUTTING_DOOR
{
    criteria ConceptCHATTER_CUTTING_DOOR Is_sarge
    response sarge_CHATTER_CUTTING_DOOR
}

Response bastille_CHATTER_CUTTING_DOOR
{
	speak "bastille.CuttingDoor0"
	speak "bastille.CuttingDoor1"
	speak "bastille.CuttingDoor2"
}

Rule bastille_CHATTER_CUTTING_DOOR
{
    criteria ConceptCHATTER_CUTTING_DOOR Is_bastille
    response bastille_CHATTER_CUTTING_DOOR
}

Response wildcat_CHATTER_CUTTING_DOOR
{
	speak "wildcat.CuttingDoor0"
	speak "wildcat.CuttingDoor1"
}

Rule wildcat_CHATTER_CUTTING_DOOR
{
    criteria ConceptCHATTER_CUTTING_DOOR Is_wildcat
    response wildcat_CHATTER_CUTTING_DOOR
}

Response faith_CHATTER_BIOMASS
{
	speak "faith.Biomass0"
	speak "faith.Biomass1"
	speak "faith.Biomass2"
}

Rule faith_CHATTER_BIOMASS
{
    criteria ConceptCHATTER_BIOMASS Is_faith
    response faith_CHATTER_BIOMASS
}

Response crash_CHATTER_BIOMASS
{
	speak "crash.Biomass0"
	speak "crash.Biomass1"
	speak "crash.Biomass2"
	speak "crash.Biomass3"
}

Rule crash_CHATTER_BIOMASS
{
    criteria ConceptCHATTER_BIOMASS Is_crash
    response crash_CHATTER_BIOMASS
}

Response wolfe_CHATTER_BIOMASS
{
	speak "wolfe.Biomass0"
	speak "wolfe.Biomass1"
	speak "wolfe.Biomass2"
	speak "wolfe.Biomass3"
	speak "wolfe.Biomass4"
}

Rule wolfe_CHATTER_BIOMASS
{
    criteria ConceptCHATTER_BIOMASS Is_wolfe
    response wolfe_CHATTER_BIOMASS
}

Response vegas_CHATTER_BIOMASS
{
	speak "vegas.Biomass0"
	speak "vegas.Biomass1"
	speak "vegas.Biomass2"
	speak "vegas.Biomass3"
	speak "vegas.Biomass4"
	speak "vegas.Biomass5"
	speak "vegas.Biomass6"
	speak "vegas.Biomass7"
}

Rule vegas_CHATTER_BIOMASS
{
    criteria ConceptCHATTER_BIOMASS Is_vegas
    response vegas_CHATTER_BIOMASS
}

Response sarge_CHATTER_BIOMASS
{
	speak "sarge.Biomass0"
	speak "sarge.Biomass1"
}

Rule sarge_CHATTER_BIOMASS
{
    criteria ConceptCHATTER_BIOMASS Is_sarge
    response sarge_CHATTER_BIOMASS
}

Response bastille_CHATTER_BIOMASS
{
	speak "bastille.Biomass0"
	speak "bastille.Biomass1"
	speak "bastille.Biomass2"
}

Rule bastille_CHATTER_BIOMASS
{
    criteria ConceptCHATTER_BIOMASS Is_bastille
    response bastille_CHATTER_BIOMASS
}

Response wildcat_CHATTER_BIOMASS
{
	speak "wildcat.Biomass0"
	speak "wildcat.Biomass1"
}

Rule wildcat_CHATTER_BIOMASS
{
    criteria ConceptCHATTER_BIOMASS Is_wildcat
    response wildcat_CHATTER_BIOMASS
}

Response faith_CHATTER_MEDIC_COMPLAIN_REPLY
{
	speak "faith.MedicComplainReply0"
}

Rule faith_CHATTER_MEDIC_COMPLAIN_REPLY
{
    criteria ConceptCHATTER_MEDIC_COMPLAIN_REPLY Is_faith
    response faith_CHATTER_MEDIC_COMPLAIN_REPLY
}

Response crash_CHATTER_MEDIC_COMPLAIN_REPLY
{
	speak "crash.MedicComplainReply0"
}

Rule crash_CHATTER_MEDIC_COMPLAIN_REPLY
{
    criteria ConceptCHATTER_MEDIC_COMPLAIN_REPLY Is_crash
    response crash_CHATTER_MEDIC_COMPLAIN_REPLY
}

Response jaeger_CHATTER_MEDIC_COMPLAIN_REPLY
{
	speak "jaeger.MedicComplainReply0"
}

Rule jaeger_CHATTER_MEDIC_COMPLAIN_REPLY
{
    criteria ConceptCHATTER_MEDIC_COMPLAIN_REPLY Is_jaeger
    response jaeger_CHATTER_MEDIC_COMPLAIN_REPLY
}

Response wolfe_CHATTER_MEDIC_COMPLAIN_REPLY
{
	speak "wolfe.MedicComplainReply0"
	speak "wolfe.MedicComplainReply1"
}

Rule wolfe_CHATTER_MEDIC_COMPLAIN_REPLY
{
    criteria ConceptCHATTER_MEDIC_COMPLAIN_REPLY Is_wolfe
    response wolfe_CHATTER_MEDIC_COMPLAIN_REPLY
}

Response vegas_CHATTER_MEDIC_COMPLAIN_REPLY
{
	speak "vegas.MedicComplainReply0"
}

Rule vegas_CHATTER_MEDIC_COMPLAIN_REPLY
{
    criteria ConceptCHATTER_MEDIC_COMPLAIN_REPLY Is_vegas
    response vegas_CHATTER_MEDIC_COMPLAIN_REPLY
}

Response sarge_CHATTER_MEDIC_COMPLAIN_REPLY
{
	speak "sarge.MedicComplainReply0"
}

Rule sarge_CHATTER_MEDIC_COMPLAIN_REPLY
{
    criteria ConceptCHATTER_MEDIC_COMPLAIN_REPLY Is_sarge
    response sarge_CHATTER_MEDIC_COMPLAIN_REPLY
}

Response bastille_CHATTER_MEDIC_COMPLAIN_REPLY
{
	speak "bastille.MedicComplainReply0"
}

Rule bastille_CHATTER_MEDIC_COMPLAIN_REPLY
{
    criteria ConceptCHATTER_MEDIC_COMPLAIN_REPLY Is_bastille
    response bastille_CHATTER_MEDIC_COMPLAIN_REPLY
}

Response wildcat_CHATTER_MEDIC_COMPLAIN_REPLY
{
	speak "wildcat.MedicComplainReply0"
}

Rule wildcat_CHATTER_MEDIC_COMPLAIN_REPLY
{
    criteria ConceptCHATTER_MEDIC_COMPLAIN_REPLY Is_wildcat
    response wildcat_CHATTER_MEDIC_COMPLAIN_REPLY
}

Response sarge_CHATTER_MINE_DEPLOYED
{
	speak "sarge.MineDeployed0"
	speak "sarge.MineDeployed1"
	speak "sarge.MineDeployed2"
	speak "sarge.MineDeployed3"
}

Rule sarge_CHATTER_MINE_DEPLOYED
{
    criteria ConceptCHATTER_MINE_DEPLOYED Is_sarge
    response sarge_CHATTER_MINE_DEPLOYED
}

Response jaeger_CHATTER_MINE_DEPLOYED
{
	speak "jaeger.MineDeployed0"
	speak "jaeger.MineDeployed1"
	speak "jaeger.MineDeployed2"
	speak "jaeger.MineDeployed3"
}

Rule jaeger_CHATTER_MINE_DEPLOYED
{
    criteria ConceptCHATTER_MINE_DEPLOYED Is_jaeger
    response jaeger_CHATTER_MINE_DEPLOYED
}

Response faith_CHATTER_HOLD_POSITION
{
	speak "faith.HoldPosition0"
	speak "faith.HoldPosition1"
	speak "faith.HoldPosition2"
	speak "faith.HoldPosition3"
	speak "faith.HoldPosition4"
}

Rule faith_CHATTER_HOLD_POSITION
{
    criteria ConceptCHATTER_HOLD_POSITION Is_faith
    response faith_CHATTER_HOLD_POSITION
}

Response crash_CHATTER_HOLD_POSITION
{
	speak "crash.HoldPosition0"
	speak "crash.HoldPosition1"
	speak "crash.HoldPosition2"
}

Rule crash_CHATTER_HOLD_POSITION
{
    criteria ConceptCHATTER_HOLD_POSITION Is_crash
    response crash_CHATTER_HOLD_POSITION
}

Response jaeger_CHATTER_HOLD_POSITION
{
	speak "jaeger.HoldPosition0"
	speak "jaeger.HoldPosition1"
}

